 Calibration of amptek channel to energy (20 Aug 2014) A=-0.29036  B=0.00568913  (egy = A + B * chan_num)
 61 Pm  L      .00      .00      .00  7428.00  7013.00  6459.00  5432.50  5407.80  5223.93  5617.21  5959.00  6409.00  6509.00  6959.00  2      .00  7928.00
 62 Sm  L      .00      .00      .00  7737.00  7312.00  6716.00  5636.10  5609.00  5418.29  5827.73  6216.00  6666.00  6766.00  7216.00  2      .00  8237.00
 63 Eu  L      .00      .00      .00  8052.00  7617.00  6977.00  5845.70  5816.60  5618.84  6044.45  6477.00  6927.00  7027.00  7477.00  2      .00  8552.00
 64 Gd  L      .00      .00      .00  8376.00  7930.00  7243.00  6057.20  6025.00  5820.15  6263.15  6743.00  7193.00  7293.00  7743.00  2      .00  8876.00
 65 Tb  L      .00      .00      .00  8708.00  8252.00  7514.00  6272.80  6238.00  6025.91  6486.08  7014.00  7464.00  7564.00  8014.00  2      .00  9208.00
 66 Dy  L      .00      .00      .00  9046.00  8581.00  7790.00  6495.20  6457.70  6238.14  6716.04  7290.00  7740.00  7840.00  8290.00  2      .00  9546.00
 67 Ho  L      .00      .00      .00  9394.00  8918.00  8071.00  6719.80  6679.50  6452.40  6948.27  7571.00  8021.00  8121.00  8571.00  2      .00  9894.00
 68 Er  L      .00      .00      .00  9751.00  9264.00  8358.00  6948.70  6905.00  6670.23  7184.96  7858.00  8308.00  8408.00  8858.00  2      .00 10251.00
 69 Tm  L      .00      .00      .00 10116.00  9617.00  8648.00  7179.90  7133.10  6890.57  7424.02  8148.00  8598.00  8698.00  9148.00  2      .00 10616.00
 70 Yb  L      .00      .00      .00 10486.00  9978.00  8944.00  7415.60  7367.30  7116.81  7667.73  8444.00  8894.00  8994.00  9444.00  2      .00 10986.00
 71 Lu  L      .00      .00      .00 10870.00 10349.00  9244.00  7655.50  7604.90  7346.33  7915.79  8744.00  9194.00  9294.00  9744.00  2      .00 11370.00
 72 Hf  L      .00      .00      .00 11271.00 10739.00  9561.00  7899.00  7844.60  7577.88  8167.57  9061.00  9511.00  9611.00 10061.00  2      .00 11771.00
 73 Ta  L      .00      .00      .00 11682.00 11136.00  9881.00  8146.10  8087.90  7812.91  8423.07  9381.00  9831.00  9931.00 10381.00  2      .00 12182.00
